school_name,lon,lat
NAN CHIAU PRIMARY SCHOOL,103.890924976943,1.39206468503473
NAN HUA PRIMARY SCHOOL,103.761403957527,1.31983663784768
NANYANG PRIMARY SCHOOL,103.806468059795,1.32111548993736
NAVAL BASE PRIMARY SCHOOL,103.838797686677,1.41628015341874
NEW TOWN PRIMARY SCHOOL,103.79996481092,1.29981138774553
NGEE ANN PRIMARY SCHOOL,103.917755430065,1.30554015271643
NORTH SPRING PRIMARY SCHOOL,103.903512956253,1.38752823629059
NORTH VIEW PRIMARY SCHOOL,103.848190790589,1.42752326591512
NORTH VISTA PRIMARY SCHOOL,103.895854152412,1.38289339382802
NORTHLAND PRIMARY SCHOOL,103.840792917089,1.42130404433541
NORTHOAKS PRIMARY SCHOOL,103.813610016949,1.4566668656294
NORTHSHORE PRIMARY SCHOOL,103.904499698505,1.41813659918585
OASIS PRIMARY SCHOOL,103.910996443708,1.40440925998143
OPERA ESTATE PRIMARY SCHOOL,103.923752660472,1.31996875474462
PALM VIEW PRIMARY SCHOOL,103.891215105298,1.38384076410294
PARK VIEW PRIMARY SCHOOL,103.939688717311,1.37777026097219
PASIR RIS PRIMARY SCHOOL,103.962918870593,1.37230861882846
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),103.884978361673,1.3498418643476
PEI CHUN PUBLIC SCHOOL,103.855341310212,1.33677864390672
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,103.776191458102,1.33806704395876
PEI TONG PRIMARY SCHOOL,103.767576264023,1.3161480173441
PEIYING PRIMARY SCHOOL,103.830299468024,1.41740819239645
PIONEER PRIMARY SCHOOL,103.694867873154,1.34872092746566
POI CHING SCHOOL,103.935352521479,1.35808700067905
PRINCESS ELIZABETH PRIMARY SCHOOL,103.740999625133,1.34919451758524
PUNGGOL COVE PRIMARY SCHOOL,103.898970364961,1.41156356476303
PUNGGOL GREEN PRIMARY SCHOOL,103.898772864909,1.40180487285084
PUNGGOL PRIMARY SCHOOL,103.898772864909,1.40180487285084
PUNGGOL VIEW PRIMARY SCHOOL,103.905386541875,1.40533331354236
QIFA PRIMARY SCHOOL,103.757030040839,1.31262154226306
QIHUA PRIMARY SCHOOL,103.78833975717,1.4420359661233
QUEENSTOWN PRIMARY SCHOOL,103.807901902313,1.29598844588533
RADIN MAS PRIMARY SCHOOL,103.824087249895,1.27499032586147
RAFFLES GIRLS' PRIMARY SCHOOL,103.806221335243,1.33007391908583
RED SWASTIKA SCHOOL,103.934374884855,1.3334938298266
RIVER VALLEY PRIMARY SCHOOL,103.836018932052,1.29418347541731
RIVERSIDE PRIMARY SCHOOL,103.801921210213,1.44710495026316
RIVERVALE PRIMARY SCHOOL,103.904718284557,1.39357380506775
ROSYTH SCHOOL,103.874693245991,1.37291579617883
RULANG PRIMARY SCHOOL,103.719009824408,1.34684445616169
SEMBAWANG PRIMARY SCHOOL,103.821021505387,1.44504364451206
SENG KANG PRIMARY SCHOOL,103.899527873246,1.38925045654185
SENGKANG GREEN PRIMARY SCHOOL,103.875158826122,1.39283925109066
SHUQUN PRIMARY SCHOOL,103.721557973446,1.34756849017026
SI LING PRIMARY SCHOOL,103.785778769275,1.43269986575791
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,103.827709087084,1.32125231357733
SOUTH VIEW PRIMARY SCHOOL,103.747289784172,1.3817667245464
SPRINGDALE PRIMARY SCHOOL,103.889896502144,1.3949581843253
ST. ANDREW'S JUNIOR SCHOOL,103.865128939008,1.33138913071749
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,103.941208873959,1.33480685527666
ST. ANTHONY'S PRIMARY SCHOOL,103.749294036695,1.36463912533319
ST. GABRIEL'S PRIMARY SCHOOL,103.862332032728,1.34924603372868
ST. HILDA'S PRIMARY SCHOOL,103.937920511812,1.34934994368496
ST. JOSEPH'S INSTITUTION JUNIOR,103.845611937411,1.31772862027097
ST. MARGARET'S PRIMARY SCHOOL,103.84627782246,1.30377597048066
ST. STEPHEN'S SCHOOL,103.917526142651,1.31881620631885
STAMFORD PRIMARY SCHOOL,103.857392979824,1.30409108329892
TAMPINES NORTH PRIMARY SCHOOL,103.948936797596,1.36069171976908
TAMPINES PRIMARY SCHOOL,103.943573089534,1.35048639822833
TANJONG KATONG PRIMARY SCHOOL,103.90053168483,1.30530737066543
TAO NAN SCHOOL,103.911204232146,1.30463152903461
